client_KEY,principal__client_KEY,entry_date,client_date_cache_KEY,produced,adjustment,nonprogress_bill_amount,progress_bill_amount,surcharge,sales_tax,service_tax,discount,invoiced,collected,ar_received,ar_adjustment,ar_service_charge
14,14,08/24/2017,1319246,300,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/24/2017,1319247,225,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/24/2017,1319248,870,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/24/2017,1319249,165,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/24/2017,1319250,540,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/24/2017,1319251,60,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/25/2017,1319255,225,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/28/2017,1320937,60,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/30/2017,1320945,180,0,0,0,0,0,0,0,0,0,0,0,0
14,14,08/31/2017,1323567,206.25,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/01/2017,1323637,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/01/2017,1324106,45,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/01/2017,1324107,15,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/01/2017,1334544,137.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/01/2017,1341413,-54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/01/2017,1341622,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/06/2017,1331783,112.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/07/2017,1331787,337.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/08/2017,1331802,52.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/11/2017,1332119,30,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/13/2017,1332607,135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/13/2017,1333166,15,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/13/2017,1341383,-135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/13/2017,1341483,135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/14/2017,1333170,45,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/18/2017,1334088,7.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/20/2017,1336033,7.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/21/2017,1335462,67.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/21/2017,1336038,30,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/21/2017,1341364,-67.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/21/2017,1341469,67.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/22/2017,1336042,22.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/25/2017,1337450,255,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/26/2017,1337453,345,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/26/2017,1337455,690,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/27/2017,1337389,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/27/2017,1337391,135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/27/2017,1337459,22.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/27/2017,1341341,-54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/27/2017,1341343,-135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/27/2017,1341449,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/27/2017,1341451,135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/28/2017,1338015,22.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,09/29/2017,1339562,180,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/02/2017,1341317,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/02/2017,1352570,412.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/03/2017,1352575,330,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/04/2017,1348858,135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/04/2017,1361596,206.25,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/06/2017,1352587,30,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/09/2017,1356147,27,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/09/2017,1358658,300,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/09/2017,1361584,275,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/10/2017,1358669,352.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/10/2017,1358670,37.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/11/2017,1358195,67.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/11/2017,1358671,450,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/11/2017,1358673,150,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/13/2017,1359300,52.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,10/15/2017,1360001,1375,0,0,0,0,0,0,0,0,0,0,0,0
