client_KEY,principal__client_KEY,entry_date,client_date_cache_KEY,produced,adjustment,nonprogress_bill_amount,progress_bill_amount,surcharge,sales_tax,service_tax,discount,invoiced,collected,ar_received,ar_adjustment,ar_service_charge
14,14,42971,1319246,300,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42971,1319247,225,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42971,1319248,870,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42971,1319249,165,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42971,1319250,540,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42971,1319251,60,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42972,1319255,225,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42975,1320937,60,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42977,1320945,180,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42978,1323567,206.25,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42979,1323637,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42979,1324106,45,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42979,1324107,15,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42979,1334544,137.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42979,1341413,-54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42979,1341622,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42984,1331783,112.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42985,1331787,337.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42986,1331802,52.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42989,1332119,30,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42991,1332607,135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42991,1333166,15,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42991,1341383,-135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42991,1341483,135,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42992,1333170,45,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42996,1334088,7.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42998,1336033,7.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42999,1335462,67.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42999,1336038,30,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42999,1341364,-67.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,42999,1341469,67.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,43000,1336042,22.5,0,0,0,0,0,0,0,0,0,0,0,0
14,14,43003,1337450,255,0,0,0,0,0,0,0,0,0,0,0,0
14,14,43004,1337453,345,0,0,0,0,0,0,0,0,0,0,0,0
14,14,43004,1337455,690,0,0,0,0,0,0,0,0,0,0,0,0
14,14,43005,1337389,54,0,0,0,0,0,0,0,0,0,0,0,0
14,14,43005,1337391,135,0,0,0,0,0,0,0,0,0,0,0,0
